,Country,Year,MtCO2e
0,Afghanistan,1990,12.003817680556685
1,Albania,1990,4.783988364166206
2,Algeria,1990,32.13247984859248
3,Andorra,1990,0.022862673273489568
4,Angola,1990,128.03935070606903
5,Antigua and Barbuda,1990,0.14201263451057303
6,Argentina,1990,138.3766296267518
7,Armenia,1990,3.4048930175660925
8,Australia,1990,162.09128847704352
9,Austria,1990,16.053763540697414
10,Azerbaijan,1990,17.694450378539855
11,Bahamas,1990,0.17192020005733502
12,Bahrain,1990,2.7769117558876024
13,Bangladesh,1990,49.70417082310634
14,Barbados,1990,1.7786507696280953
15,Belarus,1990,36.1465758825496
16,Belgium,1990,21.001462352152462
17,Belize,1990,5.118200960788426
18,Benin,1990,9.403896097212439
19,Bhutan,1990,1.3669464417702621
20,Bolivia,1990,38.47947945597349
21,Bosnia and Herzegovina,1990,4.542035828873346
22,Botswana,1990,10.4025289639758
23,Brazil,1990,509.17873692277703
24,Brunei,1990,10.038067021875717
25,Bulgaria,1990,28.07318579930426
26,Burkina Faso,1990,9.43962792835887
27,Burma,1990,162.551991461745
28,Burundi,1990,1.386317467195663
29,Cambodia,1990,12.731797109719345
30,Cameroon,1990,84.19397416503152
31,Canada,1990,134.0985061700616
32,Cape Verde,1990,0.08012736181206886
33,Central African Republic,1990,113.05137590984471
34,Chad,1990,22.010429302118457
35,Chile,1990,15.930527281084672
36,China,1990,1006.0387188953765
37,Colombia,1990,77.84138976207453
38,Comoros,1990,0.1314892731165704
39,Congo (Brazzaville),1990,9.009726936697874
40,Congo (Kinshasa),1990,237.216987200796
41,Cook Islands,1990,0.056060490145829894
42,Costa Rica,1990,3.8226286298540244
43,Cote d'Ivoire,1990,48.15088831174562
44,Croatia,1990,8.437717571801363
45,Cuba,1990,29.910444813728162
46,Cyprus,1990,0.6688027828237245
47,Czech Republic,1990,32.11533148731645
48,Denmark,1990,15.420113930852413
49,Djibouti,1990,0.4512774165241559
50,Dominica,1990,0.09812429399437703
51,Dominican Republic,1990,4.338072162570707
52,Ecuador,1990,14.41209446612556
53,Egypt,1990,39.02365807674447
54,El Salvador,1990,4.689715171552846
55,Equatorial Guinea,1990,0.10046850792642192
56,Eritrea,1990,5.148802110901509
57,Estonia,1990,5.101398794117582
58,Ethiopia,1990,73.51352691157764
59,Fiji,1990,0.7708092430912358
60,Finland,1990,18.592482591658342
61,France,1990,163.44423734123183
62,Gabon,1990,2.887608006256155
63,Gambia,1990,4.063940514525266
