Country Name,Country Code,UN Status,Time,Time Code,Access to Clean Fuels and Technologies for cooking (% of total population) [2.1_ACCESS.CFT.TOT],Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM]
United States,USA,Developed,2015,YR2015,100,100,100,100,5.40839254,568439,13.22859321,5097931,8.716935867,4297048,58483061.91
United Kingdom,GBR,Developed,2015,YR2015,100,100,100,100,3.017314468,83551,24.84005042,429157.5,8.711685574,336356,4926228.068
Belgium,BEL,Developed,2015,YR2015,100,100,100,100,4.741274111,14466,20.80002301,128345.2,9.201640531,69548,1394807.802
France,FRA,Developed,2015,YR2015,100,100,100,100,4.101853699,89357,15.85766663,760300.4,13.49926232,563494,5632162.574
Germany,DEU,Developed,2015,YR2015,100,100,100,100,3.603094155,187366,29.23177012,1183042,14.2062527,640967,8327614.785
Italy,ITA,Developed,2015,YR2015,100,100,100,100,3.072198971,108906,38.67922518,778697.1,16.51685058,281562,4714561.631
Luxembourg,LUX,Developed,2015,YR2015,100,100,100,100,2.872757905,431,32.38166792,13392.29,9.031313661,1331,148287.2869
Netherlands,NLD,Developed,2015,YR2015,100,100,100,100,3.936630335,13695,12.44208231,107380.2,5.889463079,110070,1823259.583
Denmark,DNK,Developed,2015,YR2015,100,100,100,100,2.606949617,18962,65.50592462,181410.8,33.17027717,28947,546907.7001
Ireland,IRL,Developed,2015,YR2015,100,100,100,100,1.94829341,7858,27.96540802,39051.66,9.081399013,28099,430018.1056
Greece,GRC,Developed,2015,YR2015,94.31,100,100,100,3.72312235,14850,28.65578326,112744.2,17.17004755,51822,656633.0099
Portugal,PRT,Developed,2015,YR2015,100,100,100,100,3.344354013,24372,47.52637429,169816.1,27.15729839,51281,625305.572
Spain,ESP,Developed,2015,YR2015,100,100,100,100,3.327359042,97088,34.94989057,513540.8,16.25409774,277792,3159454.362
Austria,AUT,Developed,2015,YR2015,100,100,100,100,3.608376708,47243,76.49077927,362355.8,34.39499175,61763,1053513.263
