Country Code,Date,GDP,GDP Per Capita
DEU,2019,4659794737398.96,53815.3653988137
DEU,2018,4514794305292.67,53659.9892931257
DEU,2017,4381793826850.42,53011.7681603117
DEU,2016,4163898794181.89,51930.1627216947
DEU,2015,3895127090047.34,51209.0864620046
DEU,2014,3807112936430.42,50771.0402536316
DEU,2013,3628559701800.76,49873.1147030086
DEU,2012,3487232707438.34,49796.1557414519
DEU,2011,3415020684916.05,49681.286395794
DEU,2010,3187561994873.85,46927.329489172
DEU,2009,3018205018720.86,44975.9611008627
DEU,2008,3103957698735.13,47572.4164323177
DEU,2007,2982137360500.33,47029.4977547019
DEU,2006,2810612327627.45,45605.7420257348
DEU,2005,2622040720917.68,43880.4697983758
DEU,2004,2583207076040.95,43541.2580911849
DEU,2003,2465749300937.88,43019.9061551859
DEU,2002,2406901890705.46,43353.0686488749
DEU,2001,2337145131620.0,43512.3729899114
DEU,2000,2236911602807.63,42858.0189831488
DEU,1999,2158514818382.19,41708.5607983245
DEU,1998,2079452807088.9,40960.5704621276
DEU,1997,2015135479495.69,40156.0050460038
DEU,1996,1968859035644.57,39510.0850283135
DEU,1995,1921185762654.8,39301.9714672169
DEU,1994,1853285021267.37,38821.8153767718
DEU,1993,1772042875808.53,38044.3822651792
DEU,1992,1748149974066.26,38674.0570407454
DEU,1991,1676867309864.1,38232.0920102205
DEU,1990,1543185916262.22,36640.003246059
FRA,2019,3315117580574.84,46183.5217898106
FRA,2018,3120958807400.34,45561.0017682227
FRA,2017,2997296584981.42,44826.5074739036
FRA,2016,2863816346909.39,43914.4816471229
FRA,2015,2719223033898.26,43553.3992916238
FRA,2014,2662033396692.53,43227.453763357
FRA,2013,2608522466158.15,43021.3468314234
FRA,2012,2474003939353.38,42995.5900082538
FRA,2011,2446475413051.0,43069.3302520252
FRA,2010,2336237107185.55,42349.544635803
FRA,2009,2246074865218.48,41745.4821405631
FRA,2008,2259256991361.58,43202.1449281895
FRA,2007,2182048699780.6,43333.7801816556
FRA,2006,2063202748926.06,42570.4940391774
FRA,2005,1926880446239.76,41843.4539898025
FRA,2004,1820581746307.33,41470.3194447529
FRA,2003,1751690281552.46,40627.1499922542
FRA,2002,1762926373243.27,40582.073969006
FRA,2001,1687440623635.58,40419.3014348846
FRA,2000,1589840444463.08,39922.5877503782
FRA,1999,1470523899441.7,38679.3192760745
FRA,1998,1405892097800.21,37592.6356248081
