Country Code,Date,GDP,GDP Per Capita,Population
USA,2019,21374418877706.6,62526.9362080871,328239523.0
USA,2018,20529049174601.6,61391.3729620784,326687501.0
USA,2017,19485393853000.1,59957.7258513035,324985539.0
USA,2016,18707188235000.0,59028.590080063,322941311.0
USA,2015,18219297584000.0,58535.7680204966,320635163.0
USA,2014,17521746534000.0,57313.8597017438,318301008.0
USA,2013,16784849190000.0,56350.6459733513,315993715.0
USA,2012,16197007349000.0,55712.7058319029,313830990.0
USA,2011,15542581104000.0,54884.70736781,311556874.0
USA,2010,14992052727000.0,54437.0834529752,309321666.0
USA,2009,14448933025000.0,53517.5443132917,306771529.0
USA,2008,14712844084000.0,55393.9797366132,304093966.0
USA,2007,14451858650000.0,55996.8983903033,301231207.0
USA,2006,13814611414000.0,55490.8959997208,298379912.0
USA,2005,13036640229000.0,54473.3579070439,295516599.0
USA,2004,12213729147000.0,53111.8347452675,292805298.0
USA,2003,11458243878000.0,51643.7673676193,290107933.0
USA,2002,10936419054000.0,50640.6143552516,287625193.0
USA,2001,10581821399000.0,50237.6561798671,284968955.0
USA,2000,10252345464000.0,50235.8230854306,282162411.0
USA,1999,9630664202000.0,48784.3858300677,279040000.0
USA,1998,9062818211000.0,47108.6405235252,275854000.0
USA,1997,8577554463000.0,45616.7342614867,272657000.0
USA,1996,8073122000000.0,44203.4385165224,269394000.0
USA,1995,7639749000000.0,43094.9519860098,266278000.0
USA,1994,7287236000000.0,42471.1412706805,263126000.0
USA,1993,6858559000000.0,41330.0485761973,259919000.0
USA,1992,6520327000000.0,40756.7004677965,256514000.0
USA,1991,6158129000000.0,39919.7373834581,252981000.0
USA,1990,5963144000000.0,40500.594691121,249623000.0
GBR,2019,3255483893726.23,46699.3024940754,66834405.0
GBR,2018,3120717081029.65,46309.8023832552,66460344.0
GBR,2017,3037047081796.49,45974.8643523571,66058859.0
GBR,2016,2897575333395.3,45428.7228031662,65611593.0
GBR,2015,2768620597517.21,44912.8257998092,65116219.0
GBR,2014,2665874429446.03,44228.3055977099,64602298.0
GBR,2013,2563270947920.74,43422.9895227385,64128273.0
GBR,2012,2440476088673.01,42799.1061804579,63700215.0
GBR,2011,2350795692102.0,42469.6543228734,63258810.0
GBR,2010,2282682174033.24,42153.6297467325,62766365.0
GBR,2009,2181537403209.23,41672.9428140685,62276270.0
GBR,2008,2265856338473.77,43852.1076311794,61806995.0
GBR,2007,2182920267727.36,44323.2160511539,61322463.0
GBR,2006,2115106520891.17,43609.7352915332,60846820.0
GBR,2005,1973200267375.52,42739.7462349013,60401206.0
GBR,2004,1917500286870.9,41708.0102593864,59987905.0
GBR,2003,1805058287003.74,40973.2952958649,59647577.0
GBR,2002,1725816341173.86,39854.7510886469,59370479.0
GBR,2001,1640990228763.58,39114.6664781775,59119673.0
GBR,2000,1555553504801.6,38131.3730583385,58892514.0
GBR,1999,1432713941078.97,36996.1290456808,58682466.0
GBR,1998,1382456880344.43,35889.3162483835,58487141.0
GBR,1997,1343306846698.67,34728.2583237307,58316954.0
GBR,1996,1270405719902.88,33525.4676213816,58166950.0
GBR,1995,1190346310769.6,32793.8709109047,58019030.0
GBR,1994,1125692420871.04,32068.8633045102,57865745.0
GBR,1993,1060838257293.01,30959.8900978489,57718614.0
GBR,1992,1010751556344.17,30280.2763764717,57580402.0
GBR,1991,984577187000.468,30240.983352622,57424897.0
GBR,1990,962845091964.575,30673.0083090826,57247586.0
BEL,2019,626399512740.897,51707.7918992621,11484055.0
BEL,2018,597058697423.143,51245.9962234656,11427054.0
BEL,2017,577007008859.085,50725.1863102987,11375158.0
BEL,2016,550808613604.066,49969.6181652048,11331422.0
BEL,2015,521017424704.67,49491.6208733935,11274196.0
BEL,2014,503619406808.679,48787.4840814656,11209057.0
BEL,2013,487343797679.386,48243.0201797298,11159407.0
BEL,2012,469720618339.766,48249.3709850364,11106932.0
