,Region/Country/Economy,Year,Million tonnes of CO2
0,Canada,1971,340.230956
1,Chile,1971,21.036435
2,Mexico,1971,93.748092
3,United States,1971,4289.035482
4,OECD Americas,1971,4744.050965
5,Australia,1971,143.364803
6,Israel,1971,13.759922
7,Japan,1971,750.99848
8,Korea,1971,52.942062
9,New Zealand,1971,13.501739
10,OECD Asia Oceania,1971,974.567006
11,Austria,1971,48.607013
12,Belgium,1971,117.980409
13,Czech Republic,1971,153.472803
14,Denmark,1971,55.421772
15,Estonia,1971,..
16,Finland,1971,39.854757
17,France,1971,423.373262
18,Germany,1971,978.142404
19,Greece,1971,25.064815
20,Hungary,1971,60.253993
21,Iceland,1971,1.404192
22,Ireland,1971,21.642664
23,Italy,1971,289.40186
24,Latvia,1971,..
25,Lithuania,1971,..
26,Luxembourg,1971,16.472252
27,Netherlands,1971,127.679118
28,Norway,1971,23.001052
29,Poland,1971,287.362329
30,Portugal,1971,14.39064
31,Slovak Republic,1971,38.86586
32,Slovenia,1971,..
33,Spain,1971,119.087492
34,Sweden,1971,82.047455
35,Switzerland,1971,38.918813
36,Turkey,1971,41.736699
37,United Kingdom,1971,621.136913
38,OECD Europe,1971,3625.318567
39,Albania,1971,3.86277
40,Armenia,1971,..
41,Azerbaijan,1971,..
42,Belarus,1971,..
43,Bosnia and Herzegovina,1971,..
44,Bulgaria,1971,63.830958
45,Croatia,1971,..
46,Cyprus,1971,1.744456
47,Georgia,1971,..
48,Gibraltar,1971,0.068532
49,Kazakhstan,1971,..
50,Kosovo,1971,..
51,Kyrgyzstan,1971,..
52,Malta,1971,0.655077
53,Republic of Moldova,1971,..
54,Montenegro,1971,..
55,Republic of North Macedonia,1971,..
56,Romania,1971,114.671667
57,Russian Federation,1971,..
58,Serbia,1971,..
59,Tajikistan,1971,..
60,Turkmenistan,1971,..
61,Ukraine,1971,..
62,Uzbekistan,1971,..
63,Former Soviet Union (if no detail),1971,1941.654253
64,Former Yugoslavia (if no detail),1971,61.808195
65,Non-OECD Europe and Eurasia,1971,2188.295908
66,Algeria,1971,8.595347
67,Angola,1971,1.617727
68,Benin,1971,0.304678
69,Botswana,1971,..
70,Cameroon,1971,0.734006
71,Congo,1971,0.573467
72,Côte d'Ivoire,1971,2.401772
73,Dem. Rep. of Congo,1971,2.576893
74,Egypt,1971,20.050234
75,Eritrea,1971,..
76,Ethiopia,1971,1.307976
77,Gabon,1971,0.475371
78,Ghana,1971,1.915098
79,Kenya,1971,3.23255
80,Libya,1971,3.720885
81,Mauritius,1971,0.26147
82,Morocco,1971,6.578349
83,Mozambique,1971,2.933542
84,Namibia,1971,..
85,Niger,1971,..
86,Nigeria,1971,5.699087
87,Senegal,1971,1.215743
88,South Africa,1971,157.114049
89,South Sudan,1971,..
90,Sudan,1971,3.214101
91,United Rep. of Tanzania,1971,1.40302
92,Togo,1971,0.34348
93,Tunisia,1971,3.720528
94,Zambia,1971,3.367956
95,Zimbabwe,1971,7.246331
96,Other Africa,1971,8.595536
97,Africa,1971,249.199196
98,Bangladesh,1971,2.879934
99,Brunei Darussalam,1971,0.39805
100,Cambodia,1971,..
101,DPR of Korea,1971,69.212076
102,India,1971,181.056376
103,Indonesia,1971,25.211612
104,Malaysia,1971,12.7988
105,Mongolia,1971,..
106,Myanmar,1971,4.51245
107,Nepal,1971,0.190164
108,Pakistan,1971,15.872606
109,Philippines,1971,23.786286
110,Singapore,1971,6.059211
111,Sri Lanka,1971,2.757893
112,Chinese Taipei,1971,29.783034
113,Thailand,1971,16.242989
114,Viet Nam,1971,16.293834
115,Other Asia,1971,10.572599
116,Asia (excl. China),1971,417.627914
117,People's Rep. of China,1971,780.185035
118,"Hong Kong, China",1971,9.229432
119,"China (incl. Hong Kong, China)",1971,789.414467
120,Argentina,1971,82.518856
121,Bolivia,1971,2.183165
122,Brazil,1971,87.482762
123,Colombia,1971,26.678965
124,Costa Rica,1971,1.273221
125,Cuba,1971,20.813546
126,Curaçao,1971,14.514366
127,Dominican Republic,1971,3.485648
128,Ecuador,1971,3.494978
129,El Salvador,1971,1.304512
130,Guatemala,1971,2.26419
131,Haiti,1971,0.378568
132,Honduras,1971,1.123192
133,Jamaica,1971,5.535338
134,Nicaragua,1971,1.48648
135,Panama,1971,2.486548
136,Paraguay,1971,0.571145
137,Peru,1971,15.390068
138,Suriname,1971,..
139,Trinidad and Tobago,1971,5.368951
140,Uruguay,1971,5.099037
141,Venezuela,1971,45.912843
142,Other Non-OECD Americas,1971,8.186185
143,Non-OECD Americas,1971,337.552564
144,Bahrain,1971,2.89375
145,Islamic Rep. of Iran,1971,38.90385
146,Iraq,1971,10.317717
147,Jordan,1971,1.351478
148,Kuwait,1971,14.037319
149,Lebanon,1971,4.581587
150,Oman,1971,0.256418
151,Qatar,1971,2.240474
152,Saudi Arabia,1971,12.678676
153,Syrian Arab Republic ,1971,5.43466
154,United Arab Emirates,1971,2.46316
155,Yemen,1971,1.202551
156,Middle East,1971,96.36164
157,IEA/Accession/Association,1971,10588.70281
158,European Union - 28,1971,..
159,G7,1971,7692.319357
160,G8,1971,..
161,G20,1971,..
162,Africa,1971,249.199196
163,Americas,1971,5081.603529
164,Asia,1971,..
165,Europe,1971,..
166,Oceania,1971,161.117464
167,Canada,1972,357.909211
168,Chile,1972,20.642586
169,Mexico,1972,106.449776
170,United States,1972,4527.984118
171,OECD Americas,1972,5012.985691
172,Australia,1972,148.422047
173,Israel,1972,14.43047
174,Japan,1972,788.841544
175,Korea,1972,54.852829
176,New Zealand,1972,15.470591
177,OECD Asia Oceania,1972,1022.017481
178,Austria,1972,50.407481
179,Belgium,1972,127.971686
180,Czech Republic,1972,152.415259
181,Denmark,1972,57.404664
182,Estonia,1972,..
183,Finland,1972,43.610247
184,France,1972,438.776231
185,Germany,1972,1001.573959
186,Greece,1972,28.936554
187,Hungary,1972,62.096771
188,Iceland,1972,1.498085
189,Ireland,1972,21.399217
190,Italy,1972,306.537251
191,Latvia,1972,..
